Catalog Number,Description
37825,12R ½” NPT DIES
37830,12R 3/4” NPT DIES
37835,12R 1” NPT DIES
37840,12R 1-1/4” NPT DIES
37845,12R 1-1/2” NPT DIES
37850,12R 2” NPT DIES
37870,12R ½” NPT HIGH SPEED DIES
37875,12R 3/4” HIGH SPEED NPT DIES
37880,12R 1” NPT HIGH SPEED DIES
37885,12R 1-1/4” HIGH SPEED NPT DIES
37890,12R 1-1/2” HIGH SPEED NPT DIES
37895,12R 2” NPT HIGH SPEED DIES
36890R,"1/2"" NPT 00-R Die Head"
36895,"3/4"" NPT 00-R Die Head"
36900,"1"" NPT 00-R Die Head"
37390,"1/2"" NPT 12-R Die Head"
37395,"3/4"" NPT 12-R Die Head"
37400,"1"" NPT 12-R Die Head"
37405,"1-1/4"" NPT 12-R Die Head"
37410,"1-1/2"" NPT 12-R Die Head"
37415,"2"" NPT 12-R Die Head"
37490,"12R 1"" NPT HIGH SPEED COMPLETE DIE HEAD"
37505,"12R 2"" NPT HIGH SPEED COMPLETE DIE HEAD"
