Catalog Number,Model No.,Description,Weight,
,,,kg,lb.
10883,418,Oiler with One Gallon Premium Thread Cutting Oil,20.5,9.4
73442,418,418 Oiler,20.5,9.4
42600,770,770 Adapter for 00-R and 00-RB,4.4,2.0
42605,771,771 Adapter for 0-R,4.4,2.0
42610,772,772 Adapter for 11-R and R-200 (1/8''- 1 1/4''),4.4,2.0
42615,773,773 Adapter for 111-R,2.2,1.0
42620,774,"774 Square Drive Adapter - 15/16""",4.4,2.0
42625,775,775 Support Arm for No. 700,11.0,5.0
42950,B-171-X,B-171-X Metal Carrying Case,28.8,13.0
41620,-,Gearhead Motor Grease,1.1,0.5
